epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2219.31,1.58774,1.04695,1.07185,0.74486,0.62573,0.6922,0.34144,1.67254,0.96396,1.05727,0.000332684,0.000332684,0.0670643
2,6635.73,1.59239,0.99876,1.07538,0.77658,0.66638,0.737,0.35167,1.62555,1.02564,1.03594,0.00065283,0.00065283,0.0340511
3,8481.78,1.57346,0.97918,1.06605,0.78499,0.64497,0.73113,0.35601,1.64624,0.96237,1.05467,0.000959776,0.000959776,0.00102475
4,10957.3,1.54435,0.9425,1.05482,0.79028,0.66488,0.75749,0.39145,1.5201,0.91911,1.02692,0.0009406,0.0009406,0.0009406
5,12456.2,1.51105,0.9105,1.04024,0.78134,0.68322,0.74645,0.36268,1.6429,0.94829,1.04287,0.0009208,0.0009208,0.0009208
6,15369.2,1.48219,0.87135,1.02864,0.80984,0.70694,0.78929,0.41528,1.54993,0.85368,1.01823,0.000901,0.000901,0.000901
7,18704.1,1.46911,0.85876,1.03457,0.83373,0.70492,0.80153,0.42947,1.46859,0.82756,1.00219,0.0008812,0.0008812,0.0008812
8,20503.9,1.45102,0.83947,1.02168,0.79959,0.71857,0.79539,0.42247,1.48592,0.80973,0.99723,0.0008614,0.0008614,0.0008614
9,22893.6,1.42336,0.82154,1.01523,0.82515,0.70828,0.80709,0.44361,1.44984,0.81967,0.99068,0.0008416,0.0008416,0.0008416
10,24665.4,1.42196,0.80965,1.01186,0.82444,0.70913,0.80231,0.42495,1.48265,0.79517,0.99071,0.0008218,0.0008218,0.0008218
11,26374.4,1.41047,0.80175,1.00521,0.82474,0.73062,0.81573,0.4397,1.46498,0.78588,0.9827,0.000802,0.000802,0.000802
12,28035.8,1.40464,0.79382,1.0048,0.84004,0.72487,0.81337,0.44188,1.48812,0.7719,0.99243,0.0007822,0.0007822,0.0007822
13,29559.4,1.38756,0.78051,0.99574,0.83254,0.73043,0.81576,0.44613,1.47636,0.77221,0.98492,0.0007624,0.0007624,0.0007624
