epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.261,1.9406,0.95872,1.074,0.7577,0.57996,0.65155,0.30359,1.96393,0.85886,1.03957,0.000332684,0.000332684,0.0670643
2,284.505,1.90244,0.8618,1.06256,0.74521,0.63333,0.68964,0.31754,1.93881,0.8278,1.04096,0.000660522,0.000660522,0.0340588
3,423.879,1.87288,0.84086,1.05133,0.76496,0.63557,0.71074,0.34409,1.88544,0.78483,1.02613,0.000982861,0.000982861,0.00104784
4,563.446,1.82863,0.80814,1.03626,0.78517,0.66392,0.74336,0.35629,1.90968,0.77248,1.01828,0.00097525,0.00097525,0.00097525
5,703.414,1.79639,0.78049,1.02337,0.79959,0.68255,0.75712,0.38419,1.79154,0.72932,0.99651,0.000967,0.000967,0.000967
6,843.118,1.77265,0.76288,1.01547,0.80989,0.68434,0.76603,0.40172,1.69565,0.71194,0.98963,0.00095875,0.00095875,0.00095875
7,983.148,1.75518,0.7508,1.01767,0.79533,0.70246,0.76987,0.40289,1.68533,0.6914,0.98095,0.0009505,0.0009505,0.0009505
8,1122.28,1.73129,0.74309,1.00533,0.80728,0.69442,0.78039,0.41645,1.65642,0.69198,0.97761,0.00094225,0.00094225,0.00094225
9,1262.59,1.70639,0.72218,1.00564,0.82143,0.69351,0.78275,0.40233,1.77106,0.6835,0.98401,0.000934,0.000934,0.000934
10,1402.61,1.70509,0.71863,1.0012,0.82486,0.70268,0.79168,0.43634,1.58788,0.6669,0.96747,0.00092575,0.00092575,0.00092575
11,1542.76,1.68579,0.7098,0.99525,0.83232,0.70294,0.79741,0.44514,1.57158,0.65209,0.96006,0.0009175,0.0009175,0.0009175
12,1683.69,1.68087,0.71005,0.99501,0.8047,0.69503,0.77985,0.42509,1.62586,0.69764,0.97222,0.00090925,0.00090925,0.00090925
13,1823.47,1.66674,0.69292,0.98862,0.80839,0.71946,0.79697,0.44085,1.58208,0.65495,0.96468,0.000901,0.000901,0.000901
14,1963.62,1.64987,0.68919,0.98653,0.83357,0.71745,0.80532,0.44544,1.56608,0.62865,0.95543,0.00089275,0.00089275,0.00089275
15,2103.01,1.63527,0.68006,0.98353,0.82727,0.73289,0.81457,0.45448,1.56178,0.63501,0.95383,0.0008845,0.0008845,0.0008845
16,2243.15,1.64331,0.67464,0.98147,0.83312,0.73042,0.81452,0.46145,1.5227,0.62202,0.94739,0.00087625,0.00087625,0.00087625
17,2383.08,1.62931,0.66562,0.97935,0.83214,0.72418,0.81236,0.45709,1.56393,0.62881,0.95073,0.000868,0.000868,0.000868
18,2522.89,1.6273,0.66196,0.97487,0.8407,0.7261,0.81723,0.46166,1.52602,0.62045,0.94855,0.00085975,0.00085975,0.00085975
19,2663.5,1.60916,0.65962,0.97782,0.83915,0.72953,0.81828,0.4641,1.52974,0.61746,0.94814,0.0008515,0.0008515,0.0008515
20,2803.12,1.60427,0.65205,0.97537,0.82798,0.74139,0.81816,0.46754,1.50992,0.61773,0.94816,0.00084325,0.00084325,0.00084325
21,2943.51,1.60006,0.65178,0.97385,0.83508,0.73745,0.82205,0.47191,1.51003,0.60719,0.9414,0.000835,0.000835,0.000835
22,3083.43,1.59855,0.64808,0.9731,0.82275,0.74143,0.8216,0.47638,1.5097,0.60765,0.94103,0.00082675,0.00082675,0.00082675
23,3223.24,1.59198,0.65177,0.97408,0.82272,0.73736,0.81673,0.46216,1.55541,0.60988,0.94659,0.0008185,0.0008185,0.0008185
24,3363.38,1.5863,0.64142,0.96794,0.82306,0.73177,0.81612,0.47094,1.51448,0.61799,0.94058,0.00081025,0.00081025,0.00081025
25,3503.24,1.56918,0.63328,0.96228,0.83526,0.74474,0.82404,0.47969,1.486,0.59474,0.93585,0.000802,0.000802,0.000802
26,3643.73,1.5741,0.63509,0.96782,0.83809,0.73714,0.8275,0.47255,1.49545,0.60508,0.93893,0.00079375,0.00079375,0.00079375
27,3783.57,1.56107,0.6256,0.95865,0.82828,0.74653,0.82717,0.47848,1.48364,0.59108,0.93257,0.0007855,0.0007855,0.0007855
28,3924.22,1.56755,0.62696,0.96196,0.83176,0.74631,0.82808,0.48092,1.46576,0.58908,0.93226,0.00077725,0.00077725,0.00077725
29,4064.21,1.56419,0.62529,0.96041,0.85031,0.74597,0.83046,0.4893,1.44214,0.58933,0.9253,0.000769,0.000769,0.000769
30,4203.88,1.54838,0.62193,0.96083,0.84775,0.74765,0.83571,0.48901,1.46111,0.58303,0.93355,0.00076075,0.00076075,0.00076075
31,4344.24,1.54419,0.61321,0.95807,0.83812,0.7557,0.83408,0.4849,1.47141,0.58179,0.93542,0.0007525,0.0007525,0.0007525
32,4483.92,1.54341,0.61658,0.95549,0.82459,0.75719,0.83268,0.48425,1.47287,0.581,0.93047,0.00074425,0.00074425,0.00074425
33,4624.37,1.53664,0.61342,0.9536,0.83373,0.75235,0.83348,0.49383,1.43937,0.57691,0.92883,0.000736,0.000736,0.000736
34,4764.18,1.52588,0.60565,0.95224,0.83495,0.76174,0.83831,0.4902,1.45608,0.57104,0.92416,0.00072775,0.00072775,0.00072775
35,4903.93,1.52842,0.60438,0.94998,0.83233,0.76182,0.84043,0.49523,1.44984,0.56925,0.92377,0.0007195,0.0007195,0.0007195
