epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0257,1.60578,2.74126,1.16711,0.81946,0.71584,0.81878,0.48426,1.42554,1.7237,1.15379,0.000473446,0.000473446,0.000473446
2,55.0797,1.2848,1.38337,1.07269,0.90156,0.90216,0.96997,0.6575,1.11535,0.85027,1.03344,0.000945078,0.000945078,0.000945078
3,80.9254,1.20069,0.97169,1.05817,0.942,0.94175,0.9741,0.69235,1.08761,0.73196,1.05127,0.00141199,0.00141199,0.00141199
4,107.345,1.15075,0.82392,1.04279,0.93387,0.89976,0.93238,0.65848,1.11576,0.86448,1.06013,0.00140778,0.00140778,0.00140778
5,133.246,1.08875,0.72344,1.01706,0.97029,0.96367,0.98793,0.74551,0.95405,0.59105,0.99241,0.00140071,0.00140071,0.00140071
6,159.205,1.04267,0.67778,0.99814,0.96274,0.94886,0.98192,0.70196,1.03777,0.61166,1.0013,0.00139363,0.00139363,0.00139363
7,185.028,1.02323,0.6401,0.98648,0.96308,0.89191,0.96667,0.72321,0.96643,0.70578,0.98022,0.00138656,0.00138656,0.00138656
8,210.821,0.99187,0.6079,0.98059,0.9802,0.95753,0.98989,0.74892,0.95273,0.54111,0.95974,0.00137949,0.00137949,0.00137949
9,236.631,0.94199,0.58331,0.96792,0.97151,0.96139,0.992,0.76966,0.88628,0.52006,0.95052,0.00137241,0.00137241,0.00137241
10,262.575,0.96636,0.57063,0.97148,0.96165,0.96535,0.98767,0.77898,0.89034,0.52075,0.96094,0.00136534,0.00136534,0.00136534
11,288.365,0.95054,0.57134,0.96982,0.97582,0.99033,0.99358,0.77949,0.86669,0.48309,0.94283,0.00135826,0.00135826,0.00135826
12,314.492,0.91071,0.54544,0.95585,0.97233,0.96835,0.98655,0.76255,0.89853,0.51188,0.96772,0.00135119,0.00135119,0.00135119
13,340.773,0.913,0.5398,0.95671,0.9758,0.97281,0.99182,0.78386,0.84447,0.4896,0.94671,0.00134412,0.00134412,0.00134412
14,367.291,0.88198,0.5206,0.93672,0.98467,0.97909,0.99219,0.78427,0.84963,0.46127,0.93371,0.00133704,0.00133704,0.00133704
15,393.379,0.8827,0.51245,0.93944,0.97248,0.96276,0.98604,0.78174,0.86934,0.48564,0.96319,0.00132997,0.00132997,0.00132997
