epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5871,1.60578,2.74126,1.16711,0.81946,0.71584,0.81878,0.48426,1.42554,1.7237,1.15379,0.000473446,0.000473446,0.000473446
2,53.6682,1.2848,1.38337,1.07269,0.90156,0.90216,0.96997,0.6575,1.11535,0.85027,1.03344,0.000945078,0.000945078,0.000945078
3,78.567,1.20069,0.97169,1.05817,0.942,0.94175,0.9741,0.69235,1.08761,0.73196,1.05127,0.00141199,0.00141199,0.00141199
4,103.591,1.15075,0.82392,1.04279,0.93387,0.89976,0.93238,0.65848,1.11576,0.86448,1.06013,0.00140778,0.00140778,0.00140778
5,128.631,1.08875,0.72344,1.01706,0.97029,0.96367,0.98793,0.74551,0.95405,0.59105,0.99241,0.00140071,0.00140071,0.00140071
6,153.559,1.04267,0.67778,0.99814,0.96274,0.94886,0.98192,0.70196,1.03777,0.61166,1.0013,0.00139363,0.00139363,0.00139363
7,179.197,1.02323,0.6401,0.98648,0.96308,0.89191,0.96667,0.72321,0.96643,0.70578,0.98022,0.00138656,0.00138656,0.00138656
8,204.293,0.99187,0.6079,0.98059,0.9802,0.95753,0.98989,0.74892,0.95273,0.54111,0.95974,0.00137949,0.00137949,0.00137949
9,229.6,0.94199,0.58331,0.96792,0.97151,0.96139,0.992,0.76966,0.88628,0.52006,0.95052,0.00137241,0.00137241,0.00137241
10,255.162,0.96636,0.57063,0.97148,0.96165,0.96535,0.98767,0.77898,0.89034,0.52075,0.96094,0.00136534,0.00136534,0.00136534
11,281.907,0.95054,0.57134,0.96982,0.97582,0.99033,0.99358,0.77949,0.86669,0.48309,0.94283,0.00135826,0.00135826,0.00135826
