epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.367,1.66554,1.16037,1.06973,0.76369,0.55749,0.64845,0.32558,1.62911,1.097,1.01896,0.000332684,0.000332684,0.0670643
2,278.987,1.62769,1.04417,1.05442,0.762,0.62673,0.69534,0.33913,1.60473,1.15782,1.00168,0.00065283,0.00065283,0.0340511
3,425.691,1.60547,1.01333,1.04582,0.77176,0.65034,0.73271,0.35765,1.68653,0.95833,1.03228,0.000959776,0.000959776,0.00102475
4,577.522,1.58341,0.98119,1.03465,0.77276,0.64072,0.72275,0.36287,1.59243,1.01602,1.02126,0.0009406,0.0009406,0.0009406
5,718.218,1.55473,0.94483,1.02375,0.79723,0.69486,0.77274,0.3913,1.58803,0.89061,0.99547,0.0009208,0.0009208,0.0009208
6,855.886,1.52799,0.91714,1.01296,0.79859,0.683,0.76659,0.39862,1.56959,0.90698,0.99952,0.000901,0.000901,0.000901
7,994.198,1.51181,0.90482,1.01499,0.80733,0.6768,0.76623,0.39886,1.54343,0.90026,0.99938,0.0008812,0.0008812,0.0008812
8,1131.49,1.49504,0.88955,1.00403,0.81593,0.69416,0.7845,0.41145,1.51173,0.83582,0.98047,0.0008614,0.0008614,0.0008614
9,1269.48,1.47592,0.86663,0.99924,0.82405,0.70582,0.79685,0.41947,1.52255,0.82683,0.9717,0.0008416,0.0008416,0.0008416
10,1407.04,1.47103,0.85831,0.99607,0.80872,0.71128,0.78207,0.40378,1.57746,0.84809,0.98353,0.0008218,0.0008218,0.0008218
11,1545.15,1.4624,0.85021,0.99259,0.80927,0.71474,0.79598,0.42552,1.49864,0.8198,0.96507,0.000802,0.000802,0.000802
12,1683.05,1.45799,0.8411,0.9918,0.82516,0.70626,0.79376,0.41626,1.54314,0.82289,0.97575,0.0007822,0.0007822,0.0007822
13,1820.72,1.44266,0.82743,0.98529,0.81733,0.72669,0.80339,0.4265,1.54472,0.81557,0.98005,0.0007624,0.0007624,0.0007624
14,1959.23,1.42869,0.8217,0.98446,0.8332,0.71072,0.80915,0.44296,1.44504,0.80562,0.96246,0.0007426,0.0007426,0.0007426
15,2096.51,1.41645,0.81257,0.98013,0.83054,0.72617,0.81306,0.44182,1.46297,0.79101,0.96297,0.0007228,0.0007228,0.0007228
16,2234.5,1.41557,0.80312,0.97587,0.83198,0.71521,0.81308,0.44507,1.46033,0.78757,0.9573,0.000703,0.000703,0.000703
17,2372.28,1.40273,0.79403,0.97311,0.81942,0.72819,0.81253,0.46063,1.35733,0.78564,0.94637,0.0006832,0.0006832,0.0006832
18,2525.72,1.39124,0.7844,0.96675,0.82986,0.73215,0.82026,0.46938,1.34076,0.75931,0.94463,0.0006634,0.0006634,0.0006634
19,2666.96,1.37672,0.77954,0.96909,0.84264,0.72479,0.8235,0.46663,1.37102,0.75215,0.94263,0.0006436,0.0006436,0.0006436
20,2804.2,1.37172,0.7744,0.96448,0.83649,0.72438,0.81786,0.46602,1.34355,0.76186,0.93695,0.0006238,0.0006238,0.0006238
21,2941.95,1.36322,0.76832,0.96534,0.83822,0.7387,0.82103,0.46642,1.36544,0.74535,0.94207,0.000604,0.000604,0.000604
22,3079.34,1.35694,0.76177,0.96453,0.81852,0.74385,0.82212,0.47338,1.3302,0.7426,0.93608,0.0005842,0.0005842,0.0005842
23,3236.22,1.34676,0.76157,0.96238,0.83264,0.74681,0.83286,0.48438,1.29043,0.73174,0.92899,0.0005644,0.0005644,0.0005644
24,3382.62,1.34331,0.75619,0.95791,0.84221,0.73198,0.82773,0.48321,1.29774,0.74384,0.9318,0.0005446,0.0005446,0.0005446
25,3520.23,1.3311,0.74498,0.95486,0.83482,0.74318,0.83023,0.48746,1.29221,0.72292,0.93096,0.0005248,0.0005248,0.0005248
26,3663.83,1.33291,0.73968,0.95708,0.83128,0.74403,0.83463,0.4915,1.29756,0.72482,0.93119,0.000505,0.000505,0.000505
27,3807.12,1.31776,0.73077,0.94807,0.83488,0.74657,0.83349,0.49216,1.26804,0.71998,0.92353,0.0004852,0.0004852,0.0004852
28,3965.18,1.31271,0.72667,0.94913,0.84791,0.74631,0.8363,0.49632,1.26433,0.70777,0.92396,0.0004654,0.0004654,0.0004654
29,4122.24,1.31697,0.72945,0.95097,0.83736,0.76174,0.84216,0.49494,1.27616,0.71614,0.92567,0.0004456,0.0004456,0.0004456
30,4278.08,1.30058,0.7169,0.94737,0.84251,0.75158,0.83663,0.5008,1.25735,0.7022,0.92299,0.0004258,0.0004258,0.0004258
31,4437.56,1.29537,0.71026,0.94582,0.839,0.74452,0.83059,0.49577,1.28166,0.70853,0.9282,0.000406,0.000406,0.000406
32,4580.22,1.29383,0.70836,0.94433,0.83255,0.75593,0.84261,0.50367,1.2435,0.69604,0.91991,0.0003862,0.0003862,0.0003862
33,4717.56,1.2866,0.70465,0.94277,0.83845,0.75353,0.83487,0.50002,1.25345,0.704,0.91696,0.0003664,0.0003664,0.0003664
34,4855.23,1.27536,0.69737,0.93943,0.84584,0.75121,0.84189,0.50081,1.24727,0.69591,0.91606,0.0003466,0.0003466,0.0003466
35,4992.32,1.27074,0.6902,0.93654,0.83906,0.7581,0.84047,0.50398,1.24872,0.69489,0.91989,0.0003268,0.0003268,0.0003268
36,5129.74,1.26887,0.69033,0.93658,0.85023,0.74787,0.84031,0.50582,1.24529,0.69077,0.91827,0.000307,0.000307,0.000307
37,5266.87,1.26287,0.68399,0.93514,0.85451,0.74139,0.8419,0.50867,1.23826,0.69617,0.91804,0.0002872,0.0002872,0.0002872
38,5423.78,1.26045,0.68346,0.93505,0.84974,0.74832,0.83861,0.50481,1.24584,0.6902,0.91789,0.0002674,0.0002674,0.0002674
39,5577.18,1.25969,0.677,0.93374,0.84511,0.7613,0.84518,0.51075,1.23542,0.68465,0.91662,0.0002476,0.0002476,0.0002476
40,5716.85,1.24929,0.67474,0.9297,0.84528,0.75347,0.84156,0.50886,1.23703,0.68781,0.914,0.0002278,0.0002278,0.0002278
41,5861.36,1.19098,0.61748,0.9124,0.83942,0.75884,0.84256,0.50548,1.24195,0.68504,0.9149,0.000208,0.000208,0.000208
42,5997.77,1.17729,0.60617,0.90594,0.85496,0.74966,0.84132,0.50559,1.24128,0.69454,0.91657,0.0001882,0.0001882,0.0001882
43,6134.31,1.17867,0.60395,0.90566,0.84879,0.75599,0.84421,0.50922,1.24101,0.68952,0.91699,0.0001684,0.0001684,0.0001684
44,6273.31,1.16689,0.59866,0.90194,0.8452,0.75362,0.84163,0.5079,1.24428,0.69293,0.91755,0.0001486,0.0001486,0.0001486
45,6420.76,1.16564,0.59864,0.9037,0.84118,0.75459,0.84285,0.51314,1.23697,0.69608,0.91516,0.0001288,0.0001288,0.0001288
46,6557.46,1.15544,0.58959,0.9002,0.83822,0.76271,0.84246,0.51166,1.23671,0.68185,0.91514,0.000109,0.000109,0.000109
47,6693.45,1.14991,0.58564,0.89932,0.84223,0.75615,0.84455,0.51216,1.23946,0.68317,0.91796,8.92e-05,8.92e-05,8.92e-05
48,6829.98,1.15204,0.5816,0.8983,0.84373,0.76098,0.84413,0.51461,1.23227,0.68294,0.91574,6.94e-05,6.94e-05,6.94e-05
49,6966.31,1.14092,0.57855,0.89875,0.83791,0.76324,0.84283,0.51433,1.23988,0.68491,0.91624,4.96e-05,4.96e-05,4.96e-05
50,7102.53,1.13923,0.57639,0.89609,0.84112,0.75561,0.84215,0.51415,1.23745,0.68611,0.91657,2.98e-05,2.98e-05,2.98e-05
