epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.495,2.12614,1.9662,0.00442,0.51591,0.4349,0.42947,0.16967,2.27499,1.84591,0.00546,0.000332684,0.000332684,0.0670643
2,226.125,2.00819,1.56815,0.00407,0.6479,0.52506,0.58153,0.24981,2.02655,1.5536,0.00448,0.00065283,0.00065283,0.0340511
3,377.93,1.97543,1.45949,0.00392,0.67868,0.57047,0.63592,0.30092,1.88865,1.35132,0.00435,0.000959776,0.000959776,0.00102475
4,527.515,1.95237,1.40136,0.00379,0.66796,0.566,0.62916,0.31183,1.80966,1.37345,0.00413,0.0009406,0.0009406,0.0009406
5,677.166,1.91514,1.351,0.00372,0.7085,0.61118,0.67969,0.33607,1.81265,1.23798,0.00427,0.0009208,0.0009208,0.0009208
6,827.942,1.91121,1.29809,0.00366,0.75152,0.59038,0.68735,0.3231,1.91596,1.26973,0.00431,0.000901,0.000901,0.000901
7,970.209,1.88757,1.27719,0.00369,0.74149,0.6436,0.71721,0.36445,1.74323,1.28832,0.00386,0.0008812,0.0008812,0.0008812
8,1113,1.8689,1.2539,0.00362,0.7493,0.61249,0.71285,0.37508,1.69653,1.17898,0.00379,0.0008614,0.0008614,0.0008614
9,1255.98,1.84939,1.22776,0.00358,0.75776,0.64171,0.73301,0.38337,1.72502,1.11811,0.0038,0.0008416,0.0008416,0.0008416
10,1401.52,1.83903,1.20986,0.00351,0.74955,0.64027,0.72599,0.38562,1.69379,1.15615,0.00377,0.0008218,0.0008218,0.0008218
11,1536.52,1.8407,1.20664,0.00351,0.75579,0.64045,0.72732,0.3769,1.75014,1.12942,0.00381,0.000802,0.000802,0.000802
12,1670.61,1.82772,1.19179,0.00352,0.76966,0.6557,0.74362,0.3946,1.69565,1.09433,0.0037,0.0007822,0.0007822,0.0007822
13,1821.7,1.81339,1.15909,0.00344,0.79334,0.64926,0.75536,0.40489,1.69863,1.05018,0.00365,0.0007624,0.0007624,0.0007624
14,1971.2,1.79765,1.15772,0.00343,0.77671,0.656,0.74815,0.39835,1.70147,1.09901,0.00371,0.0007426,0.0007426,0.0007426
15,2122.92,1.79051,1.14422,0.0034,0.7789,0.64939,0.74863,0.40705,1.67609,1.10262,0.00362,0.0007228,0.0007228,0.0007228
16,2241.38,1.79606,1.1276,0.00337,0.77221,0.66331,0.75282,0.41362,1.64052,1.04306,0.00352,0.000703,0.000703,0.000703
17,2356.11,1.7881,1.11867,0.00333,0.7656,0.66868,0.75563,0.41618,1.65349,1.03734,0.00351,0.0006832,0.0006832,0.0006832
18,2465.96,1.78173,1.10622,0.00328,0.80226,0.66894,0.76954,0.42644,1.62856,1.01425,0.00346,0.0006634,0.0006634,0.0006634
19,2578.81,1.77299,1.10171,0.00334,0.77901,0.66953,0.76638,0.42122,1.63398,1.01687,0.00346,0.0006436,0.0006436,0.0006436
20,2688.54,1.76068,1.09382,0.00328,0.78932,0.67388,0.7682,0.42244,1.63912,1.02169,0.00346,0.0006238,0.0006238,0.0006238
21,2799.92,1.75884,1.08275,0.0033,0.79499,0.66868,0.77008,0.42929,1.63384,0.99856,0.00352,0.000604,0.000604,0.000604
22,2931.45,1.75764,1.08322,0.00331,0.79233,0.68702,0.7766,0.42706,1.64656,0.9913,0.00353,0.0005842,0.0005842,0.0005842
23,3076.77,1.74492,1.07873,0.00327,0.79084,0.67248,0.77547,0.42939,1.62153,0.99947,0.00347,0.0005644,0.0005644,0.0005644
24,3221.55,1.74869,1.07643,0.00323,0.80339,0.6698,0.77747,0.43266,1.62529,1.00975,0.00344,0.0005446,0.0005446,0.0005446
25,3365.91,1.73052,1.06665,0.00319,0.79504,0.67775,0.77698,0.43389,1.618,0.98113,0.00341,0.0005248,0.0005248,0.0005248
26,3510.67,1.73197,1.06178,0.00323,0.8071,0.67393,0.7819,0.4357,1.62404,0.98,0.00348,0.000505,0.000505,0.000505
